Wilayah,GunaLahan,LuasLahan,PersentaseLokal,FaktorPengali,IntensitasHujan,DebitLimpasanExisting
Kaserangan,Zona Pertahanan dan Keamanan,"0,000",0,"0,700","44,27",0
Kaserangan,Zona Pertanian,"82,050","0,2164087528","0,560","44,27","4,238373478"
Kaserangan,Zona Peruntukan Lainnya,"0,000",0,"0,600","44,27",0
Kaserangan,Zona Ruang Terbuka Hijau,"197,072","0,519778926","0,600","44,27","5,688283074"
Kaserangan,Zona Ruang Terbuka Non Hijau,"0,000",0,"0,700","44,27",0
Kaserangan,Zona Sarana Pelayanan Umum,"0,333","0,0008780640124","0,950","44,27","0,0308089138"
Kaserangan,Zona Perumahan,"25,906","0,06832783633","0,950","44,27","4,818019494"
Kaserangan,Zona Badan Jalan,"17,964","0,04737969914","0,700","44,27","2,674474866"
Beberan,Zona Pengelolaan Persampahan,"0,000",0,"0,500","44,27",0
Beberan,Zona Badan Air,"0,122","0,0004829788916","0,500","44,27","0,002329578779"
Beberan,Zona Kawasan Peruntukan Industri,"17,249","0,06838924069","0,800","44,27","3,025155949"
Beberan,Zona Pembangkitan Tenaga Listrik,"17,249","0,06838924069","0,800","44,27","2,264012969"
Beberan,Zona Perdagangan dan Jasa,"0,213","0,0008462239578","0,950","44,27","0,02889567199"
Beberan,Zona Perkantoran,"0,000",0,"0,950","44,27",0
Beberan,Zona Perkebunan Rakyat,"0,000",0,"0,800","44,27",0
Beberan,Zona Pertahanan dan Keamanan,"0,000",0,"0,700","44,27",0
Beberan,Zona Pertanian,"137,405","0,5447890418","0,560","44,27","7,08353917"
Beberan,Zona Peruntukan Lainnya,"14,531","0,05761331353","0,600","44,27","1,173810848"
Beberan,Zona Ruang Terbuka Hijau,"32,840","0,1302078037","0,600","44,27","1,253506513"
